,regionCd,regionNm,YEARMONTH,volume
0,11000,서울,201301,3041
1,11000,서울,201302,4211
2,11000,서울,201303,6820
3,11000,서울,201304,8291
4,11000,서울,201305,9537
5,11000,서울,201306,12697
6,11000,서울,201307,4768
7,11000,서울,201308,5460
8,11000,서울,201309,6069
9,11000,서울,201310,10083
10,11000,서울,201311,9649
11,11000,서울,201312,10391
12,11000,서울,201401,8501
13,11000,서울,201402,10089
14,11000,서울,201403,12053
15,11000,서울,201404,10641
16,11000,서울,201405,7682
17,11000,서울,201406,7234
18,11000,서울,201407,9259
19,11000,서울,201408,10838
20,11000,서울,201409,12309
21,11000,서울,201410,15261
22,11000,서울,201411,11437
23,11000,서울,201412,9474
24,11000,서울,201501,8227
25,11000,서울,201502,10085
26,11000,서울,201503,15689
27,11000,서울,201504,16107
28,11000,서울,201505,15673
29,11000,서울,201506,14497
30,11000,서울,201507,15332
31,11000,서울,201508,12605
32,11000,서울,201509,10928
33,11000,서울,201510,13701
34,11000,서울,201511,12691
35,11000,서울,201512,10802
36,11000,서울,201601,7589
37,11000,서울,201602,7520
38,11000,서울,201603,10472
39,11000,서울,201604,11129
40,11000,서울,201605,13094
41,11000,서울,201606,14762
42,11000,서울,201607,17633
43,11000,서울,201608,16519
44,11000,서울,201609,13637
45,11000,서울,201610,16319
46,11000,서울,201611,13838
47,11000,서울,201612,12540
48,11000,서울,201701,7720
49,11000,서울,201702,8064
50,11000,서울,201703,9979
51,11000,서울,201704,12276
52,11000,서울,201705,14593
53,11000,서울,201706,19044
54,11000,서울,201707,18541
55,11000,서울,201708,22647
56,11000,서울,201709,14688
57,11000,서울,201710,9090
58,11000,서울,201711,11616
59,11000,서울,201712,16955
60,11000,서울,201801,18212
61,11000,서울,201802,15305
62,11000,서울,201803,20673
63,11000,서울,201804,10130
64,11000,서울,201805,12312
65,11000,서울,201806,9013
66,11000,서울,201807,13648
67,11000,서울,201808,13182
68,11000,서울,201809,17564
69,11000,서울,201810,16609
70,11000,서울,201811,7848
71,11000,서울,201812,6590
72,11000,서울,201901,7000
73,11000,서울,201902,4625
74,11000,서울,201903,6464
75,48000,경남,201301,3108
76,48000,경남,201302,3338
77,48000,경남,201303,4561
78,48000,경남,201304,5947
79,48000,경남,201305,6292
80,48000,경남,201306,10928
81,48000,경남,201307,5904
82,48000,경남,201308,3893
83,48000,경남,201309,4360
84,48000,경남,201310,7832
85,48000,경남,201311,8610
86,48000,경남,201312,10953
87,48000,경남,201401,7984
88,48000,경남,201402,7925
89,48000,경남,201403,7495
90,48000,경남,201404,7885
91,48000,경남,201405,7973
92,48000,경남,201406,7496
93,48000,경남,201407,7295
94,48000,경남,201408,7671
95,48000,경남,201409,7908
96,48000,경남,201410,10242
97,48000,경남,201411,6968
98,48000,경남,201412,9941
99,48000,경남,201501,8045
100,48000,경남,201502,7020
101,48000,경남,201503,8356
102,48000,경남,201504,8615
103,48000,경남,201505,7299
104,48000,경남,201506,7728
105,48000,경남,201507,7463
106,48000,경남,201508,5666
107,48000,경남,201509,5398
108,48000,경남,201510,8251
109,48000,경남,201511,9514
110,48000,경남,201512,9808
111,48000,경남,201601,7174
112,48000,경남,201602,5136
113,48000,경남,201603,5409
114,48000,경남,201604,6262
115,48000,경남,201605,5598
116,48000,경남,201606,8330
117,48000,경남,201607,6033
118,48000,경남,201608,6763
119,48000,경남,201609,5835
120,48000,경남,201610,7705
121,48000,경남,201611,7869
122,48000,경남,201612,6738
123,48000,경남,201701,6280
124,48000,경남,201702,6454
125,48000,경남,201703,7420
126,48000,경남,201704,6586
127,48000,경남,201705,10481
128,48000,경남,201706,10322
129,48000,경남,201707,9665
130,48000,경남,201708,10931
131,48000,경남,201709,8636
132,48000,경남,201710,5319
133,48000,경남,201711,6229
134,48000,경남,201712,5390
135,48000,경남,201801,7021
136,48000,경남,201802,5839
137,48000,경남,201803,5757
138,48000,경남,201804,5253
139,48000,경남,201805,4798
140,48000,경남,201806,5096
141,48000,경남,201807,6484
142,48000,경남,201808,4293
143,48000,경남,201809,3679
144,48000,경남,201810,4944
145,48000,경남,201811,4737
146,48000,경남,201812,5074
147,48000,경남,201901,5339
148,48000,경남,201902,5760
149,48000,경남,201903,6902
